Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1436760380,2705070,IN,PAS,01/27/2018,45,TRAC,FRUEH,P,10810,34510,34530,0,14,14,14,939542,0014,0000,1130A,,NY,F,550,8TH AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1436834818,62805JM,NY,OMT,01/27/2018,45,TRC,GMC,P,15010,14290,25890,0,5,5,5,936973,0005,0000,0737P,0735P,,F,150,CHERRY ST,,0,408,F7,,BBBBBBB,ALL,ALL,BROWN,0,1986,-,0,,,,,
1437188242,12867MA,NY,COM,01/27/2018,45,DELV,FRUEH,P,0,0,0,0,19,19,19,937844,0019,0000,1133A,,,F,,S/W C/O 74,3RD,0,408,E1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1437188047,95308MD,NY,COM,01/27/2018,45,VAN,FRUEH,P,10210,18490,18510,0,19,19,19,937647,0019,0000,1140A,,BX,O,1313,3RD AVE,,0,408,E1,,BBBBBBB,ALL,ALL,BR,0,2014,-,0,,,,,
1437188035,12149MJ,NY,COM,01/27/2018,45,P-U,FORD,P,10010,18350,18370,20180531,19,19,19,937647,0019,0000,1131A,,,O,1274,1ST AVE,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,2007,-,0,,,,,
1436307170,39748ME,99,COM,01/27/2018,45,DELV,WORKH,P,54040,73270,86730,20180228,72,72,72,961915,0072,0000,0445A,,,F,125,KING STREET,,0,408,J6,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1434079661,48319MJ,NY,COM,01/27/2018,45,VAN,FORD,P,35670,14510,15710,20181031,24,24,24,945905,0024,0000,0908A,,NY,F,12,WEST 95 ST,,0,408,J6,,BBBBBBB,ALL,ALL,WH,0,2012,-,0,,,,,
1435332581,21129BR,NY,OMR,01/27/2018,45,BUS,INT L,P,0,0,0,20180228,61,61,61,929395,0061,0000,1001A,,K,O,,E/S BEDFORD AVE,S/O AVE  P,0,408,C3,,BBBBBBB,ALL,ALL,YELL,0,0,-,0,,,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1436760380,2705070,IN,PAS,01/27/2018,45,TRAC,FRUEH,P,10810,34510,34530,0,14,14,14,939542,0014,0000,1130A,,NY,F,550,8TH AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1436834818,62805JM,NY,OMT,01/27/2018,45,TRC,GMC,P,15010,14290,25890,0,5,5,5,936973,0005,0000,0737P,0735P,,F,150,CHERRY ST,,0,408,F7,,BBBBBBB,ALL,ALL,BROWN,0,1986,-,0,,,,,
1437188242,12867MA,NY,COM,01/27/2018,45,DELV,FRUEH,P,0,0,0,0,19,19,19,937844,0019,0000,1133A,,,F,,S/W C/O 74,3RD,0,408,E1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1437188047,95308MD,NY,COM,01/27/2018,45,VAN,FRUEH,P,10210,18490,18510,0,19,19,19,937647,0019,0000,1140A,,BX,O,1313,3RD AVE,,0,408,E1,,BBBBBBB,ALL,ALL,BR,0,2014,-,0,,,,,
1437188035,12149MJ,NY,COM,01/27/2018,45,P-U,FORD,P,10010,18350,18370,20180531,19,19,19,937647,0019,0000,1131A,,,O,1274,1ST AVE,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,2007,-,0,,,,,
1436307170,39748ME,99,COM,01/27/2018,45,DELV,WORKH,P,54040,73270,86730,20180228,72,72,72,961915,0072,0000,0445A,,,F,125,KING STREET,,0,408,J6,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1434079661,48319MJ,NY,COM,01/27/2018,45,VAN,FORD,P,35670,14510,15710,20181031,24,24,24,945905,0024,0000,0908A,,NY,F,12,WEST 95 ST,,0,408,J6,,BBBBBBB,ALL,ALL,WH,0,2012,-,0,,,,,
1435332581,21129BR,NY,OMR,01/27/2018,45,BUS,INT L,P,0,0,0,20180228,61,61,61,929395,0061,0000,1001A,,K,O,,E/S BEDFORD AVE,S/O AVE  P,0,408,C3,,BBBBBBB,ALL,ALL,YELL,0,0,-,0,,,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1436760380,2705070,IN,PAS,01/27/2018,45,TRAC,FRUEH,P,10810,34510,34530,0,14,14,14,939542,0014,0000,1130A,,NY,F,550,8TH AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1436834818,62805JM,NY,OMT,01/27/2018,45,TRC,GMC,P,15010,14290,25890,0,5,5,5,936973,0005,0000,0737P,0735P,,F,150,CHERRY ST,,0,408,F7,,BBBBBBB,ALL,ALL,BROWN,0,1986,-,0,,,,,
1437188242,12867MA,NY,COM,01/27/2018,45,DELV,FRUEH,P,0,0,0,0,19,19,19,937844,0019,0000,1133A,,,F,,S/W C/O 74,3RD,0,408,E1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1437188047,95308MD,NY,COM,01/27/2018,45,VAN,FRUEH,P,10210,18490,18510,0,19,19,19,937647,0019,0000,1140A,,BX,O,1313,3RD AVE,,0,408,E1,,BBBBBBB,ALL,ALL,BR,0,2014,-,0,,,,,
1437188035,12149MJ,NY,COM,01/27/2018,45,P-U,FORD,P,10010,18350,18370,20180531,19,19,19,937647,0019,0000,1131A,,,O,1274,1ST AVE,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,2007,-,0,,,,,
1436307170,39748ME,99,COM,01/27/2018,45,DELV,WORKH,P,54040,73270,86730,20180228,72,72,72,961915,0072,0000,0445A,,,F,125,KING STREET,,0,408,J6,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1434079661,48319MJ,NY,COM,01/27/2018,45,VAN,FORD,P,35670,14510,15710,20181031,24,24,24,945905,0024,0000,0908A,,NY,F,12,WEST 95 ST,,0,408,J6,,BBBBBBB,ALL,ALL,WH,0,2012,-,0,,,,,
1435332581,21129BR,NY,OMR,01/27/2018,45,BUS,INT L,P,0,0,0,20180228,61,61,61,929395,0061,0000,1001A,,K,O,,E/S BEDFORD AVE,S/O AVE  P,0,408,C3,,BBBBBBB,ALL,ALL,YELL,0,0,-,0,,,,,
