Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8557544054,49031ME,NY,COM,01/19/2018,68,SUBN,HYUND,T,0,40404,40404,20171130,114,114,114,365341,T401,G,0248P,,Q,I,,Steinway Lot #2,,0,408,a1,,YYYYYYY,,,BR,,2013,,0,25,68-Not Pkg. Comp. w Psted Sign,,,
8545528796,DPC8597,NY,PAS,01/19/2018,68,4DSD,NISSA,T,28830,67780,23030,20180426,60,60,60,366487,T302,O,0513P,,K,F,3260,Coney Island Ave,,0,408,a1,,YYYYYYY,,,WH,,2017,,0,41,68-Not Pkg. Comp. w Psted Sign,,,
8536034336,67756MG,NY,COM,01/19/2018,68,DELV,FRUEH,T,73220,27530,29830,88880088,84,84,84,361034,T301,F,0134P,,K,F,175,Remsen St,,0,408,a1,,YYYYYYY,,,BROWN,,2013,,0,210J,68-Not Pkg. Comp. w Psted Sign,,,
8536034324,52373MK,NY,COM,01/19/2018,68,SUBN,DODGE,T,29830,53830,56530,20190930,84,84,84,361034,T301,F,0129P,,K,F,50,Court St,,0,408,a1,,YYYYYYY,,,WH,,2017,,0,210J,68-Not Pkg. Comp. w Psted Sign,,,
8538552818,FYD3079,NY,PAS,01/19/2018,68,SUBN,TOYOT,T,77430,51530,94330,20180529,88,88,88,362225,T301,N,0227P,,K,F,197,Skillman Ave,,0,408,a1,,YYYYYYY,,,GY,,2015,,0,09,68-Not Pkg. Comp. w Psted Sign,,,
8535748532,18342BB,NY,OMR,01/19/2018,68,BUS,FRUEH,T,54000,78830,78930,20180228,90,90,90,364924,T301,D,0329P,,K,F,450,Kent Ave,,0,408,a1,,YYYYYYY,,,YW,,2012,,0,09,68-Not Pkg. Comp. w Psted Sign,,,
8480079198,T723294C,NY,OMT,01/19/2018,68,4DSD,HONDA,T,10010,0,0,20180131,13,13,13,367344,T102,M,0529P,,NY,I,W,1st Ave,40ft N/of E 25th St,0,408,a1,,YYYYYYY,,,GY,,2015,,0,18,68-Not Pkg. Comp. w Psted Sign,,,
8640501403,GGK9843,NY,PAS,01/19/2018,68,SUBN,CADIL,T,86630,13880,41730,20171215,67,67,67,354144,T802,B,0223A,,K,F,1305,Utica Ave,,0,408,a1,,YYYYYYY,,,BL,,2007,,0,CC4,68-Not Pkg. Comp. w Psted Sign,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8557544054,49031ME,NY,COM,01/19/2018,68,SUBN,HYUND,T,0,40404,40404,20171130,114,114,114,365341,T401,G,0248P,,Q,I,,Steinway Lot #2,,0,408,a1,,YYYYYYY,,,BR,,2013,,0,25,68-Not Pkg. Comp. w Psted Sign,,,
8545528796,DPC8597,NY,PAS,01/19/2018,68,4DSD,NISSA,T,28830,67780,23030,20180426,60,60,60,366487,T302,O,0513P,,K,F,3260,Coney Island Ave,,0,408,a1,,YYYYYYY,,,WH,,2017,,0,41,68-Not Pkg. Comp. w Psted Sign,,,
8536034336,67756MG,NY,COM,01/19/2018,68,DELV,FRUEH,T,73220,27530,29830,88880088,84,84,84,361034,T301,F,0134P,,K,F,175,Remsen St,,0,408,a1,,YYYYYYY,,,BROWN,,2013,,0,210J,68-Not Pkg. Comp. w Psted Sign,,,
8536034324,52373MK,NY,COM,01/19/2018,68,SUBN,DODGE,T,29830,53830,56530,20190930,84,84,84,361034,T301,F,0129P,,K,F,50,Court St,,0,408,a1,,YYYYYYY,,,WH,,2017,,0,210J,68-Not Pkg. Comp. w Psted Sign,,,
8538552818,FYD3079,NY,PAS,01/19/2018,68,SUBN,TOYOT,T,77430,51530,94330,20180529,88,88,88,362225,T301,N,0227P,,K,F,197,Skillman Ave,,0,408,a1,,YYYYYYY,,,GY,,2015,,0,09,68-Not Pkg. Comp. w Psted Sign,,,
8535748532,18342BB,NY,OMR,01/19/2018,68,BUS,FRUEH,T,54000,78830,78930,20180228,90,90,90,364924,T301,D,0329P,,K,F,450,Kent Ave,,0,408,a1,,YYYYYYY,,,YW,,2012,,0,09,68-Not Pkg. Comp. w Psted Sign,,,
8480079198,T723294C,NY,OMT,01/19/2018,68,4DSD,HONDA,T,10010,0,0,20180131,13,13,13,367344,T102,M,0529P,,NY,I,W,1st Ave,40ft N/of E 25th St,0,408,a1,,YYYYYYY,,,GY,,2015,,0,18,68-Not Pkg. Comp. w Psted Sign,,,
8640501403,GGK9843,NY,PAS,01/19/2018,68,SUBN,CADIL,T,86630,13880,41730,20171215,67,67,67,354144,T802,B,0223A,,K,F,1305,Utica Ave,,0,408,a1,,YYYYYYY,,,BL,,2007,,0,CC4,68-Not Pkg. Comp. w Psted Sign,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8557544054,49031ME,NY,COM,01/19/2018,68,SUBN,HYUND,T,0,40404,40404,20171130,114,114,114,365341,T401,G,0248P,,Q,I,,Steinway Lot #2,,0,408,a1,,YYYYYYY,,,BR,,2013,,0,25,68-Not Pkg. Comp. w Psted Sign,,,
8545528796,DPC8597,NY,PAS,01/19/2018,68,4DSD,NISSA,T,28830,67780,23030,20180426,60,60,60,366487,T302,O,0513P,,K,F,3260,Coney Island Ave,,0,408,a1,,YYYYYYY,,,WH,,2017,,0,41,68-Not Pkg. Comp. w Psted Sign,,,
8536034336,67756MG,NY,COM,01/19/2018,68,DELV,FRUEH,T,73220,27530,29830,88880088,84,84,84,361034,T301,F,0134P,,K,F,175,Remsen St,,0,408,a1,,YYYYYYY,,,BROWN,,2013,,0,210J,68-Not Pkg. Comp. w Psted Sign,,,
8536034324,52373MK,NY,COM,01/19/2018,68,SUBN,DODGE,T,29830,53830,56530,20190930,84,84,84,361034,T301,F,0129P,,K,F,50,Court St,,0,408,a1,,YYYYYYY,,,WH,,2017,,0,210J,68-Not Pkg. Comp. w Psted Sign,,,
8538552818,FYD3079,NY,PAS,01/19/2018,68,SUBN,TOYOT,T,77430,51530,94330,20180529,88,88,88,362225,T301,N,0227P,,K,F,197,Skillman Ave,,0,408,a1,,YYYYYYY,,,GY,,2015,,0,09,68-Not Pkg. Comp. w Psted Sign,,,
8535748532,18342BB,NY,OMR,01/19/2018,68,BUS,FRUEH,T,54000,78830,78930,20180228,90,90,90,364924,T301,D,0329P,,K,F,450,Kent Ave,,0,408,a1,,YYYYYYY,,,YW,,2012,,0,09,68-Not Pkg. Comp. w Psted Sign,,,
8480079198,T723294C,NY,OMT,01/19/2018,68,4DSD,HONDA,T,10010,0,0,20180131,13,13,13,367344,T102,M,0529P,,NY,I,W,1st Ave,40ft N/of E 25th St,0,408,a1,,YYYYYYY,,,GY,,2015,,0,18,68-Not Pkg. Comp. w Psted Sign,,,
8640501403,GGK9843,NY,PAS,01/19/2018,68,SUBN,CADIL,T,86630,13880,41730,20171215,67,67,67,354144,T802,B,0223A,,K,F,1305,Utica Ave,,0,408,a1,,YYYYYYY,,,BL,,2007,,0,CC4,68-Not Pkg. Comp. w Psted Sign,,,
