Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8578382572,AH70933,CT,999,01/10/2018,62,4DSD,NISSA,T,41130,0,0,88880088,84,84,84,365900,T301,F,1101A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
8578382559,26975ME,NY,COM,01/10/2018,62,VAN,NISSA,T,41130,0,0,20191031,84,84,84,365900,T301,F,1057A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,WH,,2013,,0,03,62-Beyond Marked Space,,,
8533477260,CCT1489,GA,PAS,01/10/2018,62,4DSD,TOYOT,T,41130,0,0,20180588,84,84,84,361058,T301,F,0827A,,K,I,E,Fleet Pl,30ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
8578382572,AH70933,CT,999,01/10/2018,62,4DSD,NISSA,T,41130,0,0,88880088,84,84,84,365900,T301,F,1101A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
8578382559,26975ME,NY,COM,01/10/2018,62,VAN,NISSA,T,41130,0,0,20191031,84,84,84,365900,T301,F,1057A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,WH,,2013,,0,03,62-Beyond Marked Space,,,
8533477260,CCT1489,GA,PAS,01/10/2018,62,4DSD,TOYOT,T,41130,0,0,20180588,84,84,84,361058,T301,F,0827A,,K,I,E,Fleet Pl,30ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8578382572,AH70933,CT,999,01/10/2018,62,4DSD,NISSA,T,41130,0,0,88880088,84,84,84,365900,T301,F,1101A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
8578382559,26975ME,NY,COM,01/10/2018,62,VAN,NISSA,T,41130,0,0,20191031,84,84,84,365900,T301,F,1057A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,WH,,2013,,0,03,62-Beyond Marked Space,,,
8533477260,CCT1489,GA,PAS,01/10/2018,62,4DSD,TOYOT,T,41130,0,0,20180588,84,84,84,361058,T301,F,0827A,,K,I,E,Fleet Pl,30ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8578382572,AH70933,CT,999,01/10/2018,62,4DSD,NISSA,T,41130,0,0,88880088,84,84,84,365900,T301,F,1101A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
8578382559,26975ME,NY,COM,01/10/2018,62,VAN,NISSA,T,41130,0,0,20191031,84,84,84,365900,T301,F,1057A,,K,I,E,Fleet Pl,15ft S/of Willoughby,0,408,d4,,YYYYYYY,,,WH,,2013,,0,03,62-Beyond Marked Space,,,
8533477260,CCT1489,GA,PAS,01/10/2018,62,4DSD,TOYOT,T,41130,0,0,20180588,84,84,84,361058,T301,F,0827A,,K,I,E,Fleet Pl,30ft S/of Willoughby,0,408,d4,,YYYYYYY,,,BLACK,,0,,0,03,62-Beyond Marked Space,,,
