Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1435680054,93172,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0458P,,NY,F,154,E BROADWAY,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1435680029,93783,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0442P,,NY,F,158,E BROADWAY,,0,408,C1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1435680054,93172,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0458P,,NY,F,154,E BROADWAY,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1435680029,93783,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0442P,,NY,F,158,E BROADWAY,,0,408,C1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1435680054,93172,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0458P,,NY,F,154,E BROADWAY,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1435680029,93783,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0442P,,NY,F,158,E BROADWAY,,0,408,C1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1435680054,93172,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0458P,,NY,F,154,E BROADWAY,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1435680029,93783,MA,OMR,01/09/2018,1,BUS,VANHO,P,19690,28790,29990,0,7,7,401,923739,0401,0000,0442P,,NY,F,158,E BROADWAY,,0,408,C1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
