Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8630063713,T664379C,NY,OMT,01/31/2018,72,SUBN,TOYOT,T,54580,9540,9590,20181130,109,109,109,357733,T401,A,1035A,,Q,F,41-16,Main St,,0,408,j7,,YYYYYYY,,,GY,,2013,,0,08,72A-Insp Stkr Counterfeit,,,
8599927115,61200MA,NY,COM,01/31/2018,72,VAN,FORD,T,18750,10010,45590,20190430,19,19,19,341195,T103,BB,1007A,,NY,F,407,E 88th St,,0,408,j7,,YYYYYYY,,,BL,,2003,,0,CC4,72-Insp Stkr Mutilated,,,
8591826050,39655BB,NY,OMR,01/31/2018,72,SUBN,ME/BE,T,20590,9140,61090,20180228,115,115,115,358867,T803,BB,1148P,,Q,F,39-02,112th St,,0,408,j7,,YYYYYYY,,,BK,,2017,,0,X,72-Insp Stkr Mutilated,,,
8587111413,FJB4876,NY,PAS,01/31/2018,72,4DSD,INFIN,T,23290,0,0,20190313,103,103,103,358887,T402,F,0101P,,Q,I,W,150th St,10ft N/of 88th Ave,0,408,j7,,YYYYYYY,,,TN,,0,,0,18,72-Insp Stkr Mutilated,,,
8531968926,HRU7301,NY,PAS,01/31/2018,72,4DSD,BUICK,T,19250,10110,10010,20190607,23,23,23,353485,T800,B2,0311A,,NY,F,319,E 115th St,,0,408,j7,,YYYYYYY,,,GR,,2001,,0,F,72-Insp Stkr Mutilated,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8630063713,T664379C,NY,OMT,01/31/2018,72,SUBN,TOYOT,T,54580,9540,9590,20181130,109,109,109,357733,T401,A,1035A,,Q,F,41-16,Main St,,0,408,j7,,YYYYYYY,,,GY,,2013,,0,08,72A-Insp Stkr Counterfeit,,,
8599927115,61200MA,NY,COM,01/31/2018,72,VAN,FORD,T,18750,10010,45590,20190430,19,19,19,341195,T103,BB,1007A,,NY,F,407,E 88th St,,0,408,j7,,YYYYYYY,,,BL,,2003,,0,CC4,72-Insp Stkr Mutilated,,,
8591826050,39655BB,NY,OMR,01/31/2018,72,SUBN,ME/BE,T,20590,9140,61090,20180228,115,115,115,358867,T803,BB,1148P,,Q,F,39-02,112th St,,0,408,j7,,YYYYYYY,,,BK,,2017,,0,X,72-Insp Stkr Mutilated,,,
8587111413,FJB4876,NY,PAS,01/31/2018,72,4DSD,INFIN,T,23290,0,0,20190313,103,103,103,358887,T402,F,0101P,,Q,I,W,150th St,10ft N/of 88th Ave,0,408,j7,,YYYYYYY,,,TN,,0,,0,18,72-Insp Stkr Mutilated,,,
8531968926,HRU7301,NY,PAS,01/31/2018,72,4DSD,BUICK,T,19250,10110,10010,20190607,23,23,23,353485,T800,B2,0311A,,NY,F,319,E 115th St,,0,408,j7,,YYYYYYY,,,GR,,2001,,0,F,72-Insp Stkr Mutilated,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8630063713,T664379C,NY,OMT,01/31/2018,72,SUBN,TOYOT,T,54580,9540,9590,20181130,109,109,109,357733,T401,A,1035A,,Q,F,41-16,Main St,,0,408,j7,,YYYYYYY,,,GY,,2013,,0,08,72A-Insp Stkr Counterfeit,,,
8599927115,61200MA,NY,COM,01/31/2018,72,VAN,FORD,T,18750,10010,45590,20190430,19,19,19,341195,T103,BB,1007A,,NY,F,407,E 88th St,,0,408,j7,,YYYYYYY,,,BL,,2003,,0,CC4,72-Insp Stkr Mutilated,,,
8591826050,39655BB,NY,OMR,01/31/2018,72,SUBN,ME/BE,T,20590,9140,61090,20180228,115,115,115,358867,T803,BB,1148P,,Q,F,39-02,112th St,,0,408,j7,,YYYYYYY,,,BK,,2017,,0,X,72-Insp Stkr Mutilated,,,
8587111413,FJB4876,NY,PAS,01/31/2018,72,4DSD,INFIN,T,23290,0,0,20190313,103,103,103,358887,T402,F,0101P,,Q,I,W,150th St,10ft N/of 88th Ave,0,408,j7,,YYYYYYY,,,TN,,0,,0,18,72-Insp Stkr Mutilated,,,
8531968926,HRU7301,NY,PAS,01/31/2018,72,4DSD,BUICK,T,19250,10110,10010,20190607,23,23,23,353485,T800,B2,0311A,,NY,F,319,E 115th St,,0,408,j7,,YYYYYYY,,,GR,,2001,,0,F,72-Insp Stkr Mutilated,,,
