Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1436187229,FCM2906,NY,PAS,01/06/2018,27,SDN,FORD,P,33190,35780,49890,20180719,100,100,100,953224,0100,0000,1115P,,Q,O,144,BEACH 94 STREET,,0,408,D,,BBBBBBB,ALL,ALL,RED,0,2007,-,0,,,,,
8596477512,HPW1941,NY,PAS,01/06/2018,27,SUBN,NISSA,T,0,0,0,20190419,104,104,104,366432,T402,S,0400P,,Q,F,70-02,Cooper Ave,MCDONALD'S PARKING L,0,408,d3,,YYYYYYY,,,BL,,2005,,0,A,27-No Parking (exc handicap),,,
1435310421,GRM5358,NY,PAS,01/06/2018,27,P-U,FORD,P,14830,35580,35630,20190226,61,61,61,929395,0061,0000,1245P,,K,F,1710,AVE Y,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2014,-,0,,,,,
1434452890,JUDYGRIF,NY,PAS,01/06/2018,27,SDN,HONDA,P,60810,20390,20490,20190307,106,106,106,894140,0106,0000,1008A,,Q,F,110 00,ROCKAWAY BLVD,,0,408,D,,BBBBBBB,ALL,ALL,RD,0,2010,-,0,,,,,
1436187229,FCM2906,NY,PAS,01/06/2018,27,SDN,FORD,P,33190,35780,49890,20180719,100,100,100,953224,0100,0000,1115P,,Q,O,144,BEACH 94 STREET,,0,408,D,,BBBBBBB,ALL,ALL,RED,0,2007,-,0,,,,,
8596477512,HPW1941,NY,PAS,01/06/2018,27,SUBN,NISSA,T,0,0,0,20190419,104,104,104,366432,T402,S,0400P,,Q,F,70-02,Cooper Ave,MCDONALD'S PARKING L,0,408,d3,,YYYYYYY,,,BL,,2005,,0,A,27-No Parking (exc handicap),,,
1435310421,GRM5358,NY,PAS,01/06/2018,27,P-U,FORD,P,14830,35580,35630,20190226,61,61,61,929395,0061,0000,1245P,,K,F,1710,AVE Y,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2014,-,0,,,,,
1434452890,JUDYGRIF,NY,PAS,01/06/2018,27,SDN,HONDA,P,60810,20390,20490,20190307,106,106,106,894140,0106,0000,1008A,,Q,F,110 00,ROCKAWAY BLVD,,0,408,D,,BBBBBBB,ALL,ALL,RD,0,2010,-,0,,,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
