Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8496228551,16694MG,NY,COM,01/31/2018,35,VAN,CHEVR,T,34570,0,0,20181015,14,14,14,362637,T106,X,0846A,,NY,I,S,W 40th St,30ft E/of Broadway,0,408,h7,,Y,0700A,0600P,WHITE,,1988,,0,21,35-Selling /Offer Merchandise,,,
8479396660,66168MK,NY,COM,01/31/2018,35,VAN,CHEVR,T,34690,10410,10510,20190424,18,18,18,341240,T106,O,1153A,,NY,O,59,W 46th St,,0,408,h7,,YYYYY,0700A,0600P,YW,,1989,,0,27,35-Selling /Offer Merchandise,,,
8479396659,85983MD,NY,COM,01/31/2018,35,VAN,FRUEH,T,34690,10410,10510,20180629,18,18,18,341240,T106,O,1151A,,NY,O,59,W 46th St,,0,408,h7,,YYYYY,0700A,0600P,BLACK,,0,,0,27,35-Selling /Offer Merchandise,,,
8479396647,31061MK,NY,COM,01/31/2018,35,VAN,FRUEH,T,34690,10410,10510,20190331,18,18,18,341240,T106,O,1150A,,NY,O,59,W 46th St,,0,408,h7,,YYYYY,0700A,0600P,WH,,2011,,0,27,35-Selling /Offer Merchandise,,,
8479396635,85264MK,NY,COM,01/31/2018,35,VAN,CHEVR,T,34690,10410,10510,20190930,18,18,18,341240,T106,O,1148A,,NY,O,59,W 46th St,,0,408,h7,,YYYYY,0700A,0600P,GY,,1982,,0,27,35-Selling /Offer Merchandise,,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8496228551,16694MG,NY,COM,01/31/2018,35,VAN,CHEVR,T,34570,0,0,20181015,14,14,14,362637,T106,X,0846A,,NY,I,S,W 40th St,30ft E/of Broadway,0,408,h7,,Y,0700A,0600P,WHITE,,1988,,0,21,35-Selling /Offer Merchandise,,,
8479396660,66168MK,NY,COM,01/31/2018,35,VAN,CHEVR,T,34690,10410,10510,20190424,18,18,18,341240,T106,O,1153A,,NY,O,59,W 46th St,,0,408,h7,,YYYYY,0700A,0600P,YW,,1989,,0,27,35-Selling /Offer Merchandise,,,
8479396659,85983MD,NY,COM,01/31/2018,35,VAN,FRUEH,T,34690,10410,10510,20180629,18,18,18,341240,T106,O,1151A,,NY,O,59,W 46th St,,0,408,h7,,YYYYY,0700A,0600P,BLACK,,0,,0,27,35-Selling /Offer Merchandise,,,
